id;dataset;text;tokens;label
24119382_gab;HateXplain;you are a dumb spic that can not spell spaniard;1- you, 2- are, 3- a, 4- dumb, 5- spic, 6- that, 7- can, 8- not, 9- spell, 10- spaniard;hatespeech targeting Hispanic
1174539039942283264_twitter;HateXplain;donald trump dolzeal is michael jordan and gays libtards and maga scott adams;1- donald, 2- trump, 3- dolzeal, 4- is, 5- michael, 6- jordan, 7- and, 8- gays, 9- libtards, 10- and, 11- maga, 12- scott, 13- adams;offensive targeting Homosexual
13851730_gab;HateXplain;the entertainment industry is full of these hipster queers who think communism is cool bunch of clueless pricks;1- the, 2- entertainment, 3- industry, 4- is, 5- full, 6- of, 7- these, 8- hipster, 9- queers, 10- who, 11- think, 12- communism, 13- is, 14- cool, 15- bunch, 16- of, 17- clueless, 18- pricks;offensive targeting Homosexual
1091165331924631554_twitter;HateXplain;the gays are undoutably ruining the nation;1- the, 2- gays, 3- are, 4- undoutably, 5- ruining, 6- the, 7- nation;hatespeech targeting Homosexual
23964065_gab;HateXplain;fuck those faggots and dykes;1- fuck, 2- those, 3- faggots, 4- and, 5- dykes;hatespeech targeting Homosexual
1178929248402173952_twitter;HateXplain;i hate faggots;1- i, 2- hate, 3- faggots;hatespeech targeting Homosexual
11987567_gab;HateXplain;look at what you wrote you ironic faggot you queers are fighting against everyone on this site and we all hate you fuck off;1- look, 2- at, 3- what, 4- you, 5- wrote, 6- you, 7- ironic, 8- faggot, 9- you, 10- queers, 11- are, 12- fighting, 13- against, 14- everyone, 15- on, 16- this, 17- site, 18- and, 19- we, 20- all, 21- hate, 22- you, 23- fuck, 24- off;hatespeech targeting Homosexual
1079505699506479104_twitter;HateXplain;bitch thats it im gay n i cant wait imma buy this bitch wednesday;1- bitch, 2- thats, 3- it, 4- im, 5- gay, 6- n, 7- i, 8- cant, 9- wait, 10- imma, 11- buy, 12- this, 13- bitch, 14- wednesday;offensive targeting Homosexual
13121070_gab;HateXplain;yet here you are being triggered like the utter faggot you are;1- yet, 2- here, 3- you, 4- are, 5- being, 6- triggered, 7- like, 8- the, 9- utter, 10- faggot, 11- you, 12- are;hatespeech targeting Homosexual
1178883172693491712_twitter;HateXplain;<user> shitty raghead;1- <user>, 2- shitty, 3- raghead;offensive targeting Islam
13076830_gab;HateXplain;met police terror attack in london quick lads arrest anyone who gives a moslem a dirty look search twitter for any islamophobic tweets we dont want the lemmings couch potatoes over reacting demanding we actually do something about these moslems;1- met, 2- police, 3- terror, 4- attack, 5- in, 6- london, 7- quick, 8- lads, 9- arrest, 10- anyone, 11- who, 12- gives, 13- a, 14- moslem, 15- a, 16- dirty, 17- look, 18- search, 19- twitter, 20- for, 21- any, 22- islamophobic, 23- tweets, 24- we, 25- dont, 26- want, 27- the, 28- lemmings, 29- couch, 30- potatoes, 31- over, 32- reacting, 33- demanding, 34- we, 35- actually, 36- do, 37- something, 38- about, 39- these, 40- moslems;hatespeech targeting Islam
1178559354586353665_twitter;HateXplain;<user> similarly non muslim countries should come together oops but are there non muslim countries;1- <user>, 2- similarly, 3- non, 4- muslim, 5- countries, 6- should, 7- come, 8- together, 9- oops, 10- but, 11- are, 12- there, 13- non, 14- muslim, 15- countries;offensive targeting Islam
